customer_id,customer_name,segment,region,state,city,first_order_date,last_order_date,total_orders,total_revenue,total_profit,customer_ltv,customer_type
AH-10210,Alan Hwang,Consumer,West,California,Brentwood,2014-11-29,2017-12-24,9,4805.344,1308.5546,4805.344,repeat
AH-10465,Amy Hunt,Consumer,East,New York,New York City,2015-01-03,2017-05-14,5,2495.3916,-196.12009999999998,2495.3916,repeat
AH-10585,Angele Hood,Consumer,Central,Illinois,Chicago,2014-10-26,2017-12-09,4,738.504,83.96300000000001,738.504,repeat
AH-10690,Anna Häberlin,Corporate,East,New York,New York City,2014-04-02,2016-11-15,12,7888.294,1298.0166,7888.294,repeat
AI-10855,Arianne Irving,Consumer,East,Pennsylvania,Philadelphia,2014-04-28,2017-12-17,10,4375.786,867.7271000000001,4375.786,repeat
AJ-10780,Anthony Jacobs,Corporate,South,Virginia,Springfield,2014-01-10,2017-10-16,7,4867.344,150.71300000000005,4867.344,repeat
AJ-10795,Anthony Johnson,Corporate,South,Florida,Saint Petersburg,2014-05-14,2017-07-17,7,4501.391,1158.7064,4501.391,repeat
AJ-10945,Ashley Jarboe,Consumer,South,North Carolina,Wilmington,2014-03-03,2017-10-06,7,1839.24,521.1351999999999,1839.24,repeat
AJ-10960,Astrea Jones,Consumer,East,New York,Rochester,2014-09-14,2017-10-17,3,629.2479999999999,60.4265,629.2479999999999,repeat
AM-10360,Alice McCarthy,Corporate,Central,Texas,Grand Prairie,2014-10-06,2017-12-02,5,814.012,194.9878,814.012,repeat
AM-10705,Anne McFarland,Consumer,South,Alabama,Auburn,2014-10-31,2017-07-21,8,5664.022,1085.7326,5664.022,repeat
AO-10810,Anthony O'Donnell,Corporate,West,California,Los Angeles,2016-08-16,2016-08-16,1,161.28,12.096,161.28,new
AP-10720,Anne Pryor,Home Office,East,New York,New York City,2014-03-03,2017-11-19,8,1638.554,285.7888,1638.554,repeat
AP-10915,Arthur Prichep,Consumer,South,Florida,Palm Coast,2014-08-23,2017-09-23,10,3323.556,579.3113,3323.556,repeat
AR-10345,Alex Russell,Corporate,East,Massachusetts,Lawrence,2014-12-30,2017-09-10,4,1055.694,-221.0544,1055.694,repeat
AR-10405,Allen Rosenblatt,Corporate,East,Massachusetts,Franklin,2014-10-03,2017-08-27,5,2236.128,-98.7646,2236.128,repeat
AR-10510,Andrew Roberts,Consumer,East,Pennsylvania,Philadelphia,2014-05-02,2017-12-16,5,264.86400000000003,43.6695,264.86400000000003,repeat
AR-10540,Andy Reiter,Consumer,East,New York,New York City,2014-11-25,2017-12-24,6,6608.448,2884.6208,6608.448,repeat
AR-10570,Anemone Ratner,Consumer,South,Georgia,Columbus,2016-07-14,2016-07-14,1,88.15,32.633,88.15,new
AR-10825,Anthony Rawles,Corporate,West,Washington,Vancouver,2014-06-30,2017-11-02,8,4523.336,494.83519999999993,4523.336,repeat
AS-10045,Aaron Smayling,Corporate,South,North Carolina,Jacksonville,2014-07-27,2017-10-03,7,3050.692,-253.57459999999998,3050.692,repeat
AS-10090,Adam Shillingsburg,Consumer,South,Virginia,Charlottesville,2014-09-22,2017-12-02,9,3255.31,64.53739999999998,3255.31,repeat
AS-10135,Adrian Shami,Home Office,East,New York,New York City,2016-11-13,2017-11-19,2,58.82,21.8496,58.82,repeat
AS-10225,Alan Schoenberger,Corporate,East,New York,New York City,2014-10-18,2017-12-08,5,4260.784,719.7751000000001,4260.784,repeat
AS-10240,Alan Shonely,Consumer,South,Florida,Tampa,2014-03-15,2017-06-21,7,584.6080000000001,33.715799999999994,584.6080000000001,repeat
AS-10285,Alejandro Savely,Corporate,West,California,San Francisco,2016-05-21,2017-12-11,6,3214.236,354.62760000000003,3214.236,repeat
AS-10630,Ann Steele,Home Office,Central,Texas,Pasadena,2014-08-01,2017-09-29,7,833.398,136.49190000000002,833.398,repeat
AT-10435,Alyssa Tate,Home Office,West,California,Los Angeles,2014-11-24,2017-12-09,6,1171.814,100.87680000000002,1171.814,repeat
AT-10735,Annie Thurman,Consumer,West,Washington,Seattle,2014-08-30,2017-12-17,10,3831.864,974.107,3831.864,repeat
AW-10840,Anthony Witt,Consumer,Central,Texas,Allen,2015-04-13,2017-12-10,4,649.376,65.77250000000001,649.376,repeat
AW-10930,Arthur Wiediger,Home Office,Central,Illinois,Aurora,2014-07-14,2017-11-14,7,2852.968,-104.5486,2852.968,repeat
AY-10555,Andy Yotov,Corporate,West,California,Oceanside,2014-04-06,2017-12-16,4,497.014,103.3499,497.014,repeat
AZ-10750,Annie Zypern,Consumer,East,New York,New York City,2014-03-17,2017-07-23,6,1622.0179999999998,154.9503,1622.0179999999998,repeat
BB-10990,Barry Blumstein,Corporate,West,California,Inglewood,2014-07-27,2017-09-16,5,744.3399999999999,11.583900000000007,744.3399999999999,repeat
BB-11545,Brenda Bowman,Corporate,Central,Texas,Houston,2015-06-05,2017-12-02,9,6765.728,1015.0749999999999,6765.728,repeat
BC-11125,Becky Castell,Home Office,West,Arizona,Peoria,2014-07-06,2017-06-11,9,2933.676,251.5974,2933.676,repeat
BD-11320,Bill Donatelli,Consumer,West,California,San Francisco,2015-05-31,2017-11-27,12,5718.521,1094.5037,5718.521,repeat
BD-11500,Bradley Drucker,Consumer,Central,Wisconsin,Green Bay,2014-02-01,2017-11-25,6,4411.2429999999995,1142.1225,4411.2429999999995,repeat
BD-11560,Brendan Dodson,Home Office,West,California,Fresno,2015-05-30,2017-03-27,2,320.54,116.714,320.54,repeat
BD-11605,Brian Dahlen,Consumer,East,Massachusetts,Lawrence,2014-01-13,2017-09-24,7,3288.471,634.8463,3288.471,repeat
BD-11620,Brian DeCherney,Consumer,West,California,San Francisco,2014-06-30,2017-10-22,6,1538.11,206.75689999999997,1538.11,repeat
BD-11635,Brian Derr,Consumer,South,Kentucky,Bowling Green,2014-10-05,2017-12-21,3,582.646,141.53400000000002,582.646,repeat
BD-11725,Bruce Degenhardt,Consumer,South,Kentucky,Richmond,2015-07-03,2017-09-28,6,1526.5,333.9791,1526.5,repeat
BD-11770,Bryan Davis,Consumer,Central,Texas,Houston,2016-03-10,2017-02-06,6,658.466,141.265,658.466,repeat
BE-11335,Bill Eplett,Home Office,Central,Michigan,Jackson,2016-01-15,2017-09-02,5,4204.676,1487.7739000000001,4204.676,repeat
BE-11410,Bobby Elias,Consumer,East,Ohio,Lancaster,2016-02-07,2017-09-23,5,2261.438,755.9150999999999,2261.438,repeat
BE-11455,Brad Eason,Home Office,Central,Kansas,Olathe,2015-08-02,2017-04-20,6,1727.652,139.20080000000002,1727.652,repeat
BF-10975,Barbara Fisher,Corporate,South,North Carolina,Charlotte,2014-07-14,2017-09-30,7,599.798,227.4384,599.798,repeat
BF-11005,Barry Franz,Home Office,West,California,Pasadena,2014-09-25,2017-11-21,4,1333.88,-291.38109999999995,1333.88,repeat
BF-11020,Barry Französisch,Corporate,Central,Wisconsin,Green Bay,2014-02-15,2017-10-17,8,2888.506,302.02,2888.506,repeat
BF-11080,Bart Folk,Consumer,East,Maryland,Baltimore,2014-11-28,2017-12-05,3,272.95,110.9272,272.95,repeat
BF-11170,Ben Ferrer,Home Office,West,California,Los Angeles,2014-04-13,2017-12-14,11,5907.972,1538.2127,5907.972,repeat
BF-11215,Benjamin Farhat,Home Office,West,New Mexico,Albuquerque,2014-11-09,2017-10-26,4,1585.162,523.2133,1585.162,repeat
BF-11275,Beth Fritzler,Corporate,West,Arizona,Tucson,2014-03-22,2017-11-03,3,791.9899999999999,25.870199999999997,791.9899999999999,repeat
BG-11035,Barry Gonzalez,Consumer,South,Louisiana,Monroe,2014-11-05,2017-12-02,8,2798.948,-711.4274,2798.948,repeat
BG-11695,Brooke Gillingham,Corporate,East,Ohio,Cincinnati,2014-05-11,2017-11-24,6,1874.172,107.5715,1874.172,repeat
BG-11740,Bruce Geld,Consumer,East,Pennsylvania,Philadelphia,2014-03-23,2017-11-03,6,1006.356,119.34790000000001,1006.356,repeat
BH-11710,Brosina Hoffman,Consumer,West,California,Los Angeles,2014-06-09,2017-12-07,8,6255.351,802.7898,6255.351,repeat
BK-11260,Berenike Kampe,Consumer,East,New York,New York City,2014-08-03,2017-10-14,6,659.1379999999999,-63.764399999999995,659.1379999999999,repeat
BM-11140,Becky Martin,Consumer,Central,Texas,San Antonio,2014-09-08,2017-02-26,4,11789.63,-1659.9580999999998,11789.63,repeat
BM-11575,Brendan Murry,Corporate,East,New York,New York City,2015-09-15,2017-09-21,6,808.162,95.58160000000001,808.162,repeat
BM-11650,Brian Moss,Corporate,East,New York,New York City,2014-07-09,2017-11-27,11,7294.185,2199.2781,7294.185,repeat
BM-11785,Bryan Mills,Consumer,East,Ohio,Columbus,2014-06-06,2017-05-26,10,1338.842,137.7439,1338.842,repeat
BN-11470,Brad Norvell,Corporate,South,North Carolina,Cary,2014-09-12,2017-12-06,4,265.296,36.6131,265.296,repeat
BN-11515,Bradley Nguyen,Consumer,West,California,Los Angeles,2014-03-17,2017-12-21,5,1459.344,340.7054,1459.344,repeat
BO-11350,Bill Overfelt,Corporate,West,California,Los Angeles,2016-01-03,2017-08-15,5,2682.728,278.77700000000004,2682.728,repeat
BO-11425,Bobby Odegard,Consumer,South,Kentucky,Richmond,2015-09-10,2017-10-16,2,130.83,59.4522,130.83,repeat
BP-11050,Barry Pond,Corporate,East,Rhode Island,Cranston,2014-10-12,2017-10-08,5,983.42,209.78300000000002,983.42,repeat
BP-11095,Bart Pistole,Corporate,Central,Illinois,Peoria,2014-06-07,2017-12-13,12,2442.044,433.9751,2442.044,repeat
BP-11155,Becky Pak,Consumer,South,Georgia,Columbus,2015-06-04,2017-10-02,6,1697.8609999999999,647.3847000000001,1697.8609999999999,repeat
BP-11185,Ben Peterman,Corporate,West,Colorado,Arvada,2015-03-24,2017-12-29,9,3675.861,363.5991,3675.861,repeat
BP-11230,Benjamin Patterson,Consumer,West,Washington,Spokane,2014-04-20,2017-11-21,5,1181.49,-197.2695,1181.49,repeat
BP-11290,Beth Paige,Consumer,Central,Illinois,Evanston,2014-10-03,2017-12-18,7,2475.157,-319.0637,2475.157,repeat
BS-11365,Bill Shonely,Corporate,East,New York,New York City,2014-05-04,2016-06-20,5,10501.653,2616.0643999999998,10501.653,repeat
BS-11380,Bill Stewart,Corporate,Central,Illinois,Skokie,2014-11-29,2017-12-02,5,3887.834,-17.532200000000024,3887.834,repeat
BS-11590,Brendan Sweed,Corporate,West,Arizona,Gilbert,2014-01-14,2017-11-25,6,2454.928,381.7807,2454.928,repeat
BS-11665,Brian Stugart,Consumer,East,Pennsylvania,Philadelphia,2014-06-23,2016-05-27,3,3288.1099999999997,238.73680000000002,3288.1099999999997,repeat
BS-11755,Bruce Stewart,Consumer,West,Colorado,Denver,2014-05-18,2017-12-29,7,2562.382,-113.29840000000003,2562.382,repeat
BS-11800,Bryan Spruell,Home Office,East,New York,New York City,2015-09-26,2017-04-09,2,949.4300000000001,194.0516,949.4300000000001,repeat
BT-11305,Beth Thompson,Home Office,West,California,Costa Mesa,2014-04-25,2017-01-28,5,2567.656,417.5918,2567.656,repeat
BT-11395,Bill Tyler,Corporate,Central,Michigan,Detroit,2014-10-28,2017-03-03,6,2186.6130000000003,257.9163,2186.6130000000003,repeat
BT-11440,Bobby Trafton,Consumer,West,Colorado,Littleton,2014-06-04,2016-06-18,4,603.876,-77.5256,603.876,repeat
BT-11485,Brad Thomas,Home Office,East,Maryland,Clinton,2015-12-27,2016-03-11,2,415.19599999999997,126.8694,415.19599999999997,repeat
BT-11530,Bradley Talbott,Home Office,West,California,Los Angeles,2014-05-21,2017-09-30,5,2684.4919999999997,409.4983,2684.4919999999997,repeat
BT-11680,Brian Thompson,Consumer,East,Ohio,Newark,2014-11-28,2017-12-10,7,3196.752,447.74839999999995,3196.752,repeat
BV-11245,Benjamin Venier,Corporate,Central,Iowa,Des Moines,2015-03-26,2017-01-30,5,1523.2730000000001,315.2214,1523.2730000000001,repeat
BW-11065,Barry Weirich,Consumer,South,North Carolina,Raleigh,2014-05-25,2017-06-01,3,385.516,-58.28659999999999,385.516,repeat
BW-11110,Bart Watters,Corporate,Central,Wisconsin,Milwaukee,2015-03-20,2017-08-31,8,4750.358,921.2574,4750.358,repeat
BW-11200,Ben Wallace,Consumer,South,Florida,Boynton Beach,2014-08-12,2017-06-10,6,1738.406,246.9973,1738.406,repeat
CA-11965,Carol Adams,Corporate,South,Alabama,Hoover,2014-01-26,2017-09-25,6,3789.7228,1143.3817,3789.7228,repeat
CA-12055,Cathy Armstrong,Home Office,Central,Texas,Houston,2015-09-05,2016-11-24,5,1679.7240000000002,211.2559,1679.7240000000002,repeat
CA-12265,Christina Anderson,Consumer,Central,Illinois,Chicago,2014-03-25,2017-11-04,9,2648.2872,279.6183,2648.2872,repeat
CA-12310,Christine Abelman,Corporate,East,Ohio,Cincinnati,2014-07-19,2017-12-17,4,1421.954,246.02179999999998,1421.954,repeat
CA-12775,Cynthia Arntzen,Consumer,South,Florida,Tampa,2014-06-28,2017-09-01,7,3041.566,204.48950000000002,3041.566,repeat
CB-12025,Cassandra Brandow,Consumer,East,Ohio,Hamilton,2014-03-21,2017-11-13,10,6076.139,150.2089,6076.139,repeat
CB-12415,Christy Brittain,Consumer,East,Ohio,Columbus,2015-11-05,2017-12-04,8,1949.2,272.3883,1949.2,repeat
CB-12535,Claudia Bergmann,Corporate,South,North Carolina,Chapel Hill,2015-01-02,2017-06-16,8,4246.4555,1049.5601,4246.4555,repeat
CC-12100,Chad Cunningham,Home Office,Central,Indiana,Columbus,2014-12-16,2016-09-29,6,1770.945,208.5912,1770.945,repeat
CC-12145,Charles Crestani,Consumer,West,California,Los Angeles,2014-07-20,2017-09-15,7,2471.65,392.2825,2471.65,repeat
CC-12220,Chris Cortes,Consumer,Central,Indiana,La Porte,2014-09-09,2017-12-10,12,3913.418,393.9618,3913.418,repeat
CC-12370,Christopher Conant,Consumer,South,North Carolina,Fayetteville,2016-05-23,2017-11-17,5,12129.072000000002,2177.0493,12129.072000000002,repeat
CC-12430,Chuck Clark,Home Office,Central,Indiana,Columbus,2015-09-06,2017-12-30,10,2870.05,424.6583,2870.05,repeat
CC-12475,Cindy Chapman,Consumer,East,New York,New York City,2014-05-16,2017-11-21,9,1659.438,154.851,1659.438,repeat
CC-12550,Clay Cheatham,Consumer,West,California,San Francisco,2017-06-15,2017-12-03,3,113.832,33.870599999999996,113.832,repeat
CC-12610,Corey Catlett,Corporate,East,Pennsylvania,Philadelphia,2014-08-27,2017-11-26,7,2540.631,331.434,2540.631,repeat
CC-12670,Craig Carreira,Consumer,East,New York,New York City,2014-12-23,2017-12-01,7,2269.7015,187.8399,2269.7015,repeat
CC-12685,Craig Carroll,Consumer,South,North Carolina,Greensboro,2014-03-22,2015-10-23,4,2854.1150000000002,850.1591,2854.1150000000002,repeat
CD-11920,Carlos Daly,Consumer,West,California,Lake Elsinore,2014-03-24,2017-11-20,5,2033.968,426.661,2033.968,repeat
CD-11980,Carol Darley,Consumer,Central,Texas,Tyler,2016-11-24,2017-11-06,3,639.766,-206.7172,639.766,repeat
CD-12280,Christina DeMoss,Consumer,West,Washington,Seattle,2017-11-05,2017-11-18,2,1205.584,233.0274,1205.584,repeat
CD-12790,Cynthia Delaney,Home Office,West,California,San Diego,2014-02-02,2016-11-26,5,1860.732,403.8422,1860.732,repeat
CG-12040,Catherine Glotzbach,Home Office,East,Pennsylvania,Philadelphia,2015-06-01,2017-11-11,6,904.4680000000001,86.5106,904.4680000000001,repeat
CG-12520,Claire Gute,Consumer,South,Kentucky,Henderson,2015-10-15,2017-01-26,3,1148.7800000000002,169.93439999999998,1148.7800000000002,repeat
CH-12070,Cathy Hwang,Home Office,South,North Carolina,Raleigh,2015-06-25,2016-02-08,3,1537.236,195.15109999999999,1537.236,repeat
CJ-11875,Carl Jackson,Corporate,East,Pennsylvania,Philadelphia,2016-12-30,2016-12-30,1,16.52,1.652,16.52,new
CJ-12010,Caroline Jumper,Consumer,West,California,Huntington Beach,2016-03-10,2017-06-24,8,11164.974,858.7414,11164.974,repeat
CK-12205,Chloris Kastensmidt,Consumer,East,Pennsylvania,Philadelphia,2014-03-11,2017-11-21,13,3154.855,141.2831,3154.855,repeat
CK-12325,Christine Kargatis,Home Office,West,Utah,Orem,2014-03-14,2017-09-01,5,2945.321,261.22090000000003,2945.321,repeat
CK-12595,Clytie Kelty,Consumer,East,Ohio,Grove City,2014-12-26,2017-11-17,11,2372.75,497.70980000000003,2372.75,repeat
CK-12760,Cyma Kinney,Corporate,East,New Jersey,Linden,2014-02-07,2017-10-09,9,1582.109,-338.4311,1582.109,repeat
CL-11890,Carl Ludwig,Consumer,East,Massachusetts,Everett,2014-07-26,2017-09-15,4,1262.0140000000001,328.0847,1262.0140000000001,repeat
CL-12565,Clay Ludtke,Consumer,Central,Iowa,Urbandale,2014-03-04,2017-03-21,12,10880.546,1933.7830999999999,10880.546,repeat
CL-12700,Craig Leslie,Home Office,Central,Missouri,Springfield,2016-04-24,2017-09-16,5,2353.586,229.00990000000002,2353.586,repeat
CM-11815,Candace McMahon,Corporate,Central,Texas,Pasadena,2014-11-14,2017-08-21,6,1673.888,214.463,1673.888,repeat
CM-11935,Carlos Meador,Consumer,South,North Carolina,Fayetteville,2015-09-24,2016-01-22,2,565.392,-43.732400000000005,565.392,repeat
CM-12115,Chad McGuire,Consumer,East,New York,New York City,2015-03-29,2017-12-22,4,1661.6100000000001,409.0679,1661.6100000000001,repeat
CM-12160,Charles McCrossin,Consumer,Central,Texas,Brownsville,2016-10-21,2017-12-04,6,2533.314,-394.3686,2533.314,repeat
CM-12190,Charlotte Melton,Consumer,East,Pennsylvania,Philadelphia,2015-09-18,2017-12-22,6,1475.144,91.2033,1475.144,repeat
CM-12235,Chris McAfee,Consumer,Central,Texas,Carrollton,2016-05-01,2016-12-10,5,2305.712,365.0387,2305.712,repeat
CM-12385,Christopher Martinez,Consumer,South,Georgia,Atlanta,2015-03-16,2017-11-23,4,8954.019999999999,3899.8903999999998,8954.019999999999,repeat
CM-12445,Chuck Magee,Consumer,West,California,San Francisco,2014-06-09,2016-10-20,3,287.99,64.4296,287.99,repeat
CM-12655,Corinna Mitchell,Home Office,West,California,Los Angeles,2015-03-19,2017-12-03,6,6339.5576,1572.4585,6339.5576,repeat
CM-12715,Craig Molinari,Corporate,Central,Texas,Huntsville,2014-03-07,2015-03-01,4,3984.4524,176.3108,3984.4524,repeat
CP-12085,Cathy Prescott,Corporate,East,Connecticut,Norwich,2014-12-04,2017-10-09,8,5402.254,427.0258,5402.254,repeat
CP-12340,Christine Phan,Corporate,East,New York,New York City,2014-03-17,2017-07-23,8,5888.275,-1850.3029000000001,5888.275,repeat
CR-12580,Clay Rozendal,Home Office,Central,Illinois,Elmhurst,2016-04-18,2017-11-03,4,2148.852,74.40129999999999,2148.852,repeat
CR-12625,Corey Roper,Home Office,East,New Jersey,Lakewood,2014-06-01,2016-09-16,3,475.9,144.7594,475.9,repeat
CR-12730,Craig Reiter,Consumer,East,Ohio,Columbus,2014-08-20,2017-10-13,4,1600.55,306.9176,1600.55,repeat
CR-12820,Cyra Reiten,Home Office,East,New York,New York City,2015-01-24,2017-10-06,3,1397.8724,83.27029999999999,1397.8724,repeat
CS-11845,Cari Sayre,Corporate,West,Washington,Seattle,2014-12-14,2017-09-30,5,1278.954,185.3776,1278.954,repeat
CS-11860,Cari Schnelling,Consumer,South,North Carolina,Jacksonville,2014-05-02,2017-07-21,6,537.632,105.8275,537.632,repeat
CS-11950,Carlos Soltero,Consumer,Central,Illinois,Chicago,2014-06-08,2017-12-05,11,3036.547,-126.4223,3036.547,repeat
CS-12130,Chad Sievert,Consumer,West,California,Los Angeles,2014-08-05,2016-08-28,4,884.64,143.8339,884.64,repeat
CS-12175,Charles Sheldon,Corporate,South,Tennessee,Columbia,2014-08-12,2017-05-12,5,844.4580000000001,113.1405,844.4580000000001,repeat
CS-12250,Chris Selesnick,Corporate,South,Louisiana,Bossier City,2014-01-13,2017-12-04,12,2754.216,738.3626,2754.216,repeat
CS-12355,Christine Sundaresam,Consumer,South,Georgia,Roswell,2014-08-15,2017-12-24,11,3202.1620000000003,831.9432,3202.1620000000003,repeat
CS-12400,Christopher Schild,Home Office,Central,Illinois,Chicago,2014-09-26,2017-12-28,9,3651.8585000000003,-342.80330000000004,3651.8585000000003,repeat
CS-12460,Chuck Sachs,Consumer,South,Georgia,Columbus,2017-07-03,2017-12-03,2,550.644,156.2593,550.644,repeat
CS-12490,Cindy Schnelling,Corporate,Central,Texas,Conroe,2015-01-12,2016-11-01,4,1077.2285,-302.8761,1077.2285,repeat
CS-12505,Cindy Stewart,Consumer,South,North Carolina,Thomasville,2014-03-26,2017-11-02,6,5690.054999999999,-6626.389499999999,5690.054999999999,repeat
CT-11995,Carol Triggs,Consumer,Central,Minnesota,Rochester,2014-05-07,2017-09-25,8,3241.898,161.22629999999995,3241.898,repeat
CV-12295,Christina VanderZanden,Consumer,West,California,Fresno,2014-03-28,2017-04-20,5,2830.6279999999997,493.0861,2830.6279999999997,repeat
CV-12805,Cynthia Voltz,Corporate,East,New York,New York City,2016-05-09,2017-12-25,9,2370.3136,98.99749999999999,2370.3136,repeat
CW-11905,Carl Weiss,Home Office,Central,Texas,Huntsville,2014-06-09,2017-12-08,6,1136.592,370.8298,1136.592,repeat
CY-12745,Craig Yedwab,Corporate,West,California,Oakland,2014-12-12,2017-10-31,8,2900.026,60.64670000000001,2900.026,repeat
Co-12640,Corey-Lock,Consumer,East,Pennsylvania,Philadelphia,2014-06-20,2016-06-29,5,1300.076,205.62820000000002,1300.076,repeat
DA-13450,Dianna Arnett,Home Office,Central,Texas,Houston,2014-04-25,2017-01-12,4,156.76,56.7904,156.76,repeat
DB-12910,Daniel Byrd,Home Office,South,Florida,Tampa,2014-10-24,2017-12-09,8,2171.599,431.3748,2171.599,repeat
DB-12970,Darren Budd,Corporate,West,California,Los Angeles,2014-11-12,2017-05-03,5,2839.2272,213.00289999999998,2839.2272,repeat
DB-13060,Dave Brooks,Consumer,West,Washington,Seattle,2014-03-01,2017-12-14,7,4531.646,473.0272,4531.646,repeat
DB-13120,David Bremer,Corporate,West,California,Santa Clara,2015-05-01,2017-11-12,7,2973.094,-1421.7692,2973.094,repeat
DB-13210,Dean Braden,Consumer,Central,Texas,Houston,2015-03-22,2017-12-21,10,2332.577,169.9679,2332.577,repeat
DB-13270,Deborah Brumfield,Home Office,West,California,San Diego,2014-02-04,2017-11-07,8,4655.897,841.8263999999999,4655.897,repeat
DB-13360,Dennis Bolton,Home Office,East,New York,New York City,2014-11-19,2017-04-10,5,1081.466,291.0085,1081.466,repeat
DB-13405,Denny Blanton,Consumer,Central,Indiana,La Porte,2015-08-08,2017-06-26,4,1711.692,438.9092,1711.692,repeat
DB-13555,Dorothy Badders,Corporate,South,Florida,Jacksonville,2014-04-21,2017-09-14,7,3908.8028,109.32700000000001,3908.8028,repeat
DB-13615,Doug Bickford,Consumer,West,California,Los Angeles,2014-09-30,2017-11-27,7,1989.05,438.80119999999994,1989.05,repeat
DB-13660,Duane Benoit,Consumer,East,New York,Oceanside,2014-06-17,2017-12-18,7,1155.202,177.67350000000002,1155.202,repeat
DC-12850,Dan Campbell,Consumer,South,Alabama,Florence,2014-07-05,2017-11-23,9,3336.168,-1441.6312999999998,3336.168,repeat
